#1
double ashland(8897,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
970529400	207	747	29	257	927	0	1.0	21.8
970529700	192	740	27	239	805	0	0.7	21.7
970530000	178	730	27	221	686	0	1.6	21.6
970530300	164	716	26	203	568	0	0.9	21.3
970530600	150	702	25	183	455	0	1.1	21.1
970530900	135	685	24	105	342	0	0.6	21.0
970531200	122	672	23	84	232	0	0.9	20.9
970531500	58	275	21	41	17	0	0.5	20.6
970531800	19	0	19	19	0	0	1.0	20.2
970532100	18	0	18	17	0	0	0.4	20.0
970532400	16	0	16	15	0	0	0.4	19.8
970532700	14	0	14	14	0	0	0.3	19.7
970533000	13	0	13	12	0	0	0.4	19.5
970533300	11	0	11	10	0	0	0.9	19.5
970533600	9	0	9	8	0	0	0.5	19.3
970533900	7	0	7	6	0	0	0.5	19.2
970534200	5	0	5	4	0	0	0.5	19.1
970534500	3	0	3	3	0	0	0.3	18.9
970534800	2	0	2	2	0	0	0.4	18.8
970535100	0	0	0	0	0	0	0.6	18.7
970535400	0	0	0	0	0	0	0.0	18.4
970535700	0	0	0	0	0	0	0.0	18.3
970536000	0	0	0	0	0	0	0.1	18.1
970536300	0	0	0	0	0	0	0.0	17.8
970536600	0	0	0	0	0	0	0.0	17.3
970536900	0	0	0	0	0	0	0.1	17.3
970537200	0	0	0	0	0	0	0.0	17.2
970537500	0	0	0	0	0	0	0.0	16.9
970537800	0	0	0	0	0	0	0.0	16.8
970538100	0	0	0	0	0	0	0.0	16.7
970538400	0	0	0	0	0	0	0.0	16.5
970538700	0	0	0	0	0	0	0.3	16.5
970539000	0	0	0	0	0	0	0.3	16.6
970539300	0	0	0	0	0	0	0.6	16.8
970539600	0	0	0	0	0	0	0.4	16.8
970539900	0	0	0	0	0	0	0.5	16.6
970540200	0	0	0	0	0	0	0.4	16.4
970540500	0	0	0	0	0	0	0.5	16.4
970540800	0	0	0	0	0	0	0.9	16.4
970541100	0	0	0	0	0	0	0.3	16.3
970541400	0	0	0	0	0	0	0.3	16.1
970541700	0	0	0	0	0	0	0.1	15.8
970542000	0	0	0	0	0	0	0.1	15.7
970542300	0	0	0	0	0	0	0.1	15.4
970542600	0	0	0	0	0	0	0.0	14.6
970542900	0	0	0	0	0	0	0.0	14.3
970543200	0	0	0	0	0	0	0.0	13.9
970543500	0	0	0	0	0	0	0.0	13.6
970543800	0	0	0	0	0	0	0.0	13.6
970544100	0	0	0	0	0	0	0.0	13.2
970544400	0	0	0	0	0	0	0.0	12.9
970544700	0	0	0	0	0	0	0.0	12.9
970545000	0	0	0	0	0	0	0.0	12.9
970545300	0	0	0	0	0	0	0.0	13.0
970545600	0	0	0	0	0	0	0.0	12.9
970545900	0	0	0	0	0	0	0.0	12.7
970546200	0	0	0	0	0	0	0.0	12.3
970546500	0	0	0	0	0	0	0.1	12.0
